sku_id,week_start,demand_units,revenue,avg_unit_price,avg_discount_pct,promo_days,holiday_days,category,subcategory,launch_date,unit_cost,list_price,demand_class,base_daily_demand,lead_time_days,warehouse_id,week_of_year,month,quarter,time_index,lag_1,lag_2,lag_4,lag_8,lag_13,lag_52,rolling_mean_4,rolling_std_4
SKU_018,2024-01-01,518,370297.11,717.9114285714286,17.917142857142856,7,1,Furniture,Desk,2023-05-17,577.52,874.6,Fast,52.282,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_019,2024-01-01,174,253066.8,1455.202857142857,13.528571428571428,7,1,Storage,Drawer,2023-02-22,967.59,1682.9,Medium,16.742,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_020,2024-01-01,86,149035.82,1729.337142857143,14.34,7,1,Kitchen,Blender,2023-07-27,1135.72,2018.83,Medium,10.376,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_021,2024-01-01,137,650350.24,4723.947142857142,14.608571428571429,7,1,Lighting,Ceiling Light,2023-09-04,3056.23,5532.08,Medium,14.229,3,WH_001,1,1,1,0,,,,,,,,0.0
SKU_022,2024-01-01,645,797047.01,1252.1214285714286,13.545714285714286,7,1,Decor,Cushion,2023-02-24,780.14,1448.3,Fast,57.072,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_023,2024-01-01,487,975842.0399999999,2018.7000000000003,15.694285714285714,7,1,Storage,Shelf,2023-03-14,1421.96,2394.54,Fast,47.841,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_024,2024-01-01,106,99597.95999999999,943.2871428571428,17.54,7,1,Storage,Organizer,2023-05-28,780.6,1143.92,Medium,11.441,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_025,2024-01-01,84,137309.99,1633.47,13.31,7,1,Lighting,Ceiling Light,2023-04-12,890.91,1884.28,Medium,9.617,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_026,2024-01-01,476,673815.94,1422.7485714285715,17.442857142857143,7,1,Furniture,Desk,2023-08-06,1139.66,1723.34,Fast,53.031,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_027,2024-01-01,299,285206.6,954.8085714285714,16.451428571428572,7,1,Kitchen,Storage,2023-05-31,543.59,1142.8,Fast,33.868,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_028,2024-01-01,196,194342.0,987.15,16.19857142857143,7,1,Furniture,Sofa,2023-07-12,696.3,1177.96,Medium,17.731,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_029,2024-01-01,140,218095.7,1579.9814285714288,16.240000000000002,7,1,Furniture,Chair,2023-05-28,1323.1,1886.28,Medium,16.367,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_030,2024-01-01,52,28823.33,550.0128571428571,14.577142857142857,7,1,Lighting,Table Lamp,2023-04-10,424.36,643.88,Slow,5.947,5,WH_001,1,1,1,0,,,,,,,,0.0
SKU_031,2024-01-01,204,551863.88,2714.29,11.14857142857143,7,1,Lighting,LED Light,2023-03-29,1597.83,3054.86,Medium,23.272,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_032,2024-01-01,19,26857.43,1380.804285714286,15.56857142857143,7,1,Storage,Cabinet,2023-12-01,929.3,1635.41,Slow,2.887,10,WH_001,1,1,1,0,,,,,,,,0.0
SKU_033,2024-01-01,181,259873.57,1450.7414285714287,12.581428571428573,7,1,Decor,Decor Piece,2023-01-25,1096.42,1659.52,Medium,17.401,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_034,2024-01-01,445,683145.38,1532.957142857143,15.467142857142857,7,1,Decor,Vase,2023-02-27,874.05,1813.42,Fast,50.122,10,WH_001,1,1,1,0,,,,,,,,0.0
SKU_035,2024-01-01,89,584812.02,6531.150000000001,20.08142857142857,7,1,Kitchen,Blender,2023-06-01,5191.48,8172.39,Medium,10.073,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_036,2024-01-01,310,1101323.45,3538.0299999999997,16.09,7,1,Furniture,Chair,2023-01-13,2400.95,4216.45,Fast,35.338,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_037,2024-01-01,409,861335.34,2103.2842857142855,12.197142857142856,7,1,Furniture,Sofa,2023-11-22,1722.77,2395.4,Fast,52.345,2,WH_001,1,1,1,0,,,,,,,,0.0
SKU_038,2024-01-01,236,275594.62,1165.84,11.98857142857143,7,1,Kitchen,Appliance,2023-05-04,834.16,1324.63,Fast,28.725,10,WH_001,1,1,1,0,,,,,,,,0.0
SKU_039,2024-01-01,58,97872.23,1674.4328571428573,14.969999999999999,7,1,Decor,Decor Piece,2023-12-22,1014.2,1969.23,Slow,7.382,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_040,2024-01-01,66,115989.12999999999,1738.3,15.022857142857143,7,1,Lighting,Table Lamp,2023-09-18,940.49,2045.6,Slow,7.464,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_041,2024-01-01,38,54232.97,1409.282857142857,15.489999999999998,7,1,Kitchen,Appliance,2023-03-15,857.83,1667.6,Slow,5.636,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_042,2024-01-01,503,495429.28,989.2042857142858,14.594285714285714,7,1,Storage,Drawer,2023-11-19,739.54,1158.26,Fast,57.473,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_043,2024-01-01,20,74197.4,3770.5642857142857,11.622857142857143,7,1,Lighting,Table Lamp,2023-11-17,2501.09,4266.45,Slow,3.211,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_044,2024-01-01,302,495215.59,1633.0285714285715,14.54857142857143,7,1,Decor,Cushion,2023-03-11,959.59,1911.08,Fast,30.432,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_045,2024-01-01,220,277231.19,1256.6514285714286,11.894285714285715,7,1,Storage,Organizer,2023-05-23,662.82,1426.29,Medium,24.663,2,WH_001,1,1,1,0,,,,,,,,0.0
SKU_046,2024-01-01,447,913262.46,2030.8085714285714,17.13142857142857,7,1,Lighting,Ceiling Light,2023-08-04,1163.47,2450.62,Fast,49.835,3,WH_001,1,1,1,0,,,,,,,,0.0
SKU_047,2024-01-01,352,374438.34,1077.172857142857,15.33,7,1,Decor,Cushion,2023-03-21,791.1,1272.2,Fast,41.05,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_048,2024-01-01,320,618370.76,1934.5742857142857,15.054285714285713,7,1,Decor,Cushion,2023-08-02,1455.12,2277.4,Fast,35.547,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_049,2024-01-01,325,386222.99,1193.7,17.737142857142857,7,1,Lighting,Floor Lamp,2023-06-30,811.29,1451.1,Fast,30.195,10,WH_001,1,1,1,0,,,,,,,,0.0
SKU_050,2024-01-01,25,147025.4,5958.147142857143,14.192857142857141,7,1,Furniture,Table,2023-11-28,3926.86,6943.63,Slow,3.668,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_051,2024-01-01,129,244775.99000000002,1875.6357142857144,16.08142857142857,7,1,Furniture,Chair,2023-08-05,1137.12,2235.09,Medium,15.001,10,WH_001,1,1,1,0,,,,,,,,0.0
SKU_052,2024-01-01,40,29160.41,717.8557142857143,17.547142857142855,7,1,Furniture,Sofa,2023-07-11,444.82,870.65,Slow,4.51,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_053,2024-01-01,194,160983.71,826.5,14.185714285714285,7,1,Lighting,Ceiling Light,2023-05-10,603.07,963.12,Medium,19.934,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_054,2024-01-01,127,149098.58,1178.9814285714285,18.342857142857145,7,1,Lighting,Floor Lamp,2023-06-22,790.3,1443.79,Medium,15.334,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_055,2024-01-01,240,431794.61,1818.7528571428572,12.595714285714285,7,1,Lighting,Table Lamp,2023-01-30,1219.35,2080.88,Medium,23.069,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_056,2024-01-01,196,185932.84,950.1085714285715,12.392857142857142,7,1,Lighting,Ceiling Light,2023-08-14,521.95,1084.5,Medium,22.236,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_057,2024-01-01,257,649740.5700000001,2507.2657142857142,9.625714285714285,7,1,Kitchen,Cookware,2023-09-21,1498.75,2774.35,Fast,26.945,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_058,2024-01-01,86,244207.2,2786.6442857142856,15.721428571428573,7,1,Kitchen,Cookware,2023-07-26,2252.62,3306.51,Medium,8.25,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_059,2024-01-01,56,215790.88,3880.6700000000005,11.155714285714286,7,1,Furniture,Sofa,2023-11-19,2395.95,4367.96,Slow,5.605,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_060,2024-01-01,98,722706.08,7365.0257142857145,15.154285714285717,7,1,Furniture,Desk,2023-03-26,5559.38,8680.3,Medium,13.286,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_061,2024-01-01,59,74750.61,1270.99,14.334285714285715,7,1,Lighting,Ceiling Light,2023-10-17,878.0,1483.68,Medium,8.182,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_062,2024-01-01,409,422536.88,1024.4914285714285,10.965714285714286,7,1,Kitchen,Cookware,2023-01-17,778.48,1150.67,Fast,59.62,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_063,2024-01-01,48,174352.97999999998,3579.0499999999997,16.55142857142857,7,1,Kitchen,Appliance,2023-08-11,2022.74,4288.97,Slow,4.689,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_064,2024-01-01,89,153543.5,1738.8428571428572,18.325714285714287,7,1,Lighting,LED Light,2023-09-12,1479.46,2128.96,Medium,10.561,3,WH_001,1,1,1,0,,,,,,,,0.0
SKU_065,2024-01-01,35,67570.31,1958.7557142857145,18.900000000000002,7,1,Kitchen,Cookware,2023-07-07,1469.3,2415.25,Slow,3.752,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_066,2024-01-01,73,69103.42,930.7299999999999,13.784285714285714,7,1,Kitchen,Blender,2023-02-24,674.99,1079.52,Slow,7.062,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_067,2024-01-01,78,100309.46,1267.3185714285714,16.99,7,1,Kitchen,Storage,2023-08-21,909.4,1526.67,Medium,8.988,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_068,2024-01-01,250,485014.39,1942.1457142857143,15.992857142857144,7,1,Decor,Vase,2023-04-25,1355.44,2311.88,Medium,21.067,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_069,2024-01-01,172,212744.0,1229.2285714285715,16.62142857142857,7,1,Furniture,Table,2023-08-30,861.99,1474.3,Medium,22.455,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_070,2024-01-01,212,180965.56,856.6642857142857,15.191428571428572,7,1,Kitchen,Storage,2023-05-17,502.97,1010.12,Medium,23.595,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_071,2024-01-01,22,59263.45,2714.9399999999996,15.982857142857142,7,1,Furniture,Sofa,2023-01-28,1845.16,3231.37,Slow,2.149,5,WH_001,1,1,1,0,,,,,,,,0.0
SKU_072,2024-01-01,33,18902.89,568.2871428571428,19.074285714285715,7,1,Decor,Vase,2023-10-31,436.17,702.23,Slow,3.668,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_073,2024-01-01,138,81804.26000000001,593.4385714285714,15.124285714285715,7,1,Storage,Drawer,2023-03-30,485.16,699.18,Medium,16.118,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_074,2024-01-01,192,141319.54,737.5942857142857,13.108571428571427,7,1,Decor,Cushion,2023-12-05,549.86,848.88,Medium,22.736,3,WH_001,1,1,1,0,,,,,,,,0.0
SKU_075,2024-01-01,161,114589.02,705.4971428571428,15.787142857142856,7,1,Furniture,Table,2023-01-13,599.71,837.77,Medium,19.12,3,WH_001,1,1,1,0,,,,,,,,0.0
SKU_076,2024-01-01,119,561395.21,4719.024285714286,19.74857142857143,7,1,Decor,Vase,2023-12-31,2711.21,5880.44,Medium,13.89,3,WH_001,1,1,1,0,,,,,,,,0.0
SKU_077,2024-01-01,221,268161.33,1205.09,11.828571428571427,7,1,Decor,Decor Piece,2023-07-16,975.92,1366.76,Medium,24.754,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_078,2024-01-01,59,59063.56,1005.1400000000001,18.71857142857143,7,1,Lighting,Floor Lamp,2023-06-18,865.23,1236.63,Slow,5.333,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_079,2024-01-01,33,80125.22,2465.425714285714,16.584285714285716,7,1,Kitchen,Appliance,2023-12-15,1417.21,2955.56,Slow,4.236,10,WH_001,1,1,1,0,,,,,,,,0.0
SKU_080,2024-01-01,214,123451.94,582.6371428571429,18.33285714285714,7,1,Lighting,Ceiling Light,2023-04-06,475.33,713.45,Medium,22.713,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_081,2024-01-01,55,99035.8,1763.3585714285714,16.275714285714287,7,1,Lighting,Table Lamp,2023-02-22,950.32,2106.14,Slow,5.731,10,WH_001,1,1,1,0,,,,,,,,0.0
SKU_082,2024-01-01,39,41655.38,1071.82,10.921428571428573,7,1,Decor,Cushion,2023-04-21,759.64,1203.22,Slow,4.408,10,WH_001,1,1,1,0,,,,,,,,0.0
SKU_083,2024-01-01,339,256012.94,756.7257142857143,17.318571428571428,7,1,Lighting,LED Light,2023-02-24,485.72,915.22,Fast,37.181,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_084,2024-01-01,247,294001.54,1203.8428571428572,18.16142857142857,7,1,Furniture,Sofa,2023-02-19,695.66,1471.04,Medium,23.071,3,WH_001,1,1,1,0,,,,,,,,0.0
SKU_085,2024-01-01,188,392718.58,2103.62,16.892857142857142,7,1,Furniture,Sofa,2023-01-02,1341.61,2531.26,Medium,21.726,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_086,2024-01-01,242,336884.75,1390.1357142857144,15.299999999999999,7,1,Furniture,Table,2023-02-23,1002.35,1641.29,Medium,24.959,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_087,2024-01-01,415,732655.94,1766.6485714285716,11.79857142857143,7,1,Lighting,Floor Lamp,2023-11-13,1098.94,2002.99,Fast,42.392,2,WH_001,1,1,1,0,,,,,,,,0.0
SKU_088,2024-01-01,50,110216.11,2208.4528571428573,16.24,7,1,Kitchen,Cookware,2023-01-15,1430.88,2636.64,Slow,4.72,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_089,2024-01-01,433,533335.11,1220.5728571428572,16.305714285714284,7,1,Furniture,Sofa,2023-06-18,768.31,1458.37,Fast,51.319,5,WH_001,1,1,1,0,,,,,,,,0.0
SKU_090,2024-01-01,234,121636.49,519.2171428571429,12.587142857142856,7,1,Kitchen,Appliance,2023-09-12,386.35,593.99,Medium,23.454,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_091,2024-01-01,140,342607.23,2472.4857142857145,17.53,7,1,Furniture,Desk,2023-10-05,1610.13,2997.97,Medium,13.09,3,WH_001,1,1,1,0,,,,,,,,0.0
SKU_092,2024-01-01,208,1482363.78,7053.108571428572,16.725714285714286,7,1,Lighting,Table Lamp,2023-06-02,4813.79,8469.56,Medium,21.464,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_093,2024-01-01,463,1044603.8200000001,2275.535714285714,15.79142857142857,7,1,Kitchen,Blender,2023-03-10,1874.54,2702.27,Fast,48.611,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_094,2024-01-01,76,84868.64,1117.6785714285713,15.22,7,1,Decor,Decor Piece,2023-07-30,933.31,1318.34,Medium,9.732,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_095,2024-01-01,78,146828.71000000002,1865.8085714285714,15.485714285714286,7,1,Decor,Decor Piece,2023-01-16,1054.85,2207.67,Medium,8.609,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_096,2024-01-01,36,12835.06,358.9757142857143,9.881428571428572,7,1,Kitchen,Cookware,2023-09-27,212.87,398.34,Slow,4.731,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_097,2024-01-01,34,45559.979999999996,1345.3428571428572,12.352857142857143,7,1,Decor,Decor Piece,2023-12-10,980.08,1534.95,Slow,4.307,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_098,2024-01-01,164,363585.22,2204.0128571428572,14.831428571428573,7,1,Furniture,Chair,2023-11-07,1242.86,2587.89,Medium,15.082,2,WH_001,1,1,1,0,,,,,,,,0.0
SKU_099,2024-01-01,62,47894.380000000005,773.1800000000001,15.821428571428571,7,1,Furniture,Table,2023-07-07,495.93,918.5,Slow,5.049,5,WH_001,1,1,1,0,,,,,,,,0.0
SKU_100,2024-01-01,301,364650.64,1211.0042857142857,15.484285714285715,7,1,Storage,Cabinet,2023-10-10,738.59,1432.85,Fast,34.112,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_101,2024-01-01,116,65390.07,567.5314285714286,16.59285714285714,7,1,Storage,Organizer,2023-09-03,477.12,680.43,Medium,11.88,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_102,2024-01-01,103,76117.79000000001,737.6042857142858,15.161428571428571,7,1,Lighting,Table Lamp,2023-05-26,423.69,869.44,Medium,10.558,2,WH_001,1,1,1,0,,,,,,,,0.0
SKU_103,2024-01-01,32,58889.3,1819.2142857142858,15.64857142857143,7,1,Decor,Decor Piece,2023-12-21,1034.94,2156.7,Slow,3.13,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_104,2024-01-01,158,457734.19,2908.9871428571428,15.728571428571428,7,1,Storage,Organizer,2023-04-26,1557.77,3451.89,Medium,18.033,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_105,2024-01-01,105,299249.07,2828.0,14.208571428571428,7,1,Lighting,LED Light,2023-03-25,2244.79,3296.4,Medium,10.767,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_106,2024-01-01,199,246568.23,1231.9942857142855,16.86,7,1,Lighting,Floor Lamp,2023-02-04,811.46,1481.81,Medium,18.258,10,WH_001,1,1,1,0,,,,,,,,0.0
SKU_107,2024-01-01,207,171527.58,828.0657142857143,16.29714285714286,7,1,Kitchen,Cookware,2023-05-27,502.97,989.29,Medium,21.587,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_108,2024-01-01,14,34758.36,2536.5814285714287,12.888571428571428,7,1,Decor,Vase,2023-04-08,1325.31,2911.87,Slow,2.179,5,WH_001,1,1,1,0,,,,,,,,0.0
SKU_109,2024-01-01,193,213202.41,1099.6657142857143,12.302857142857144,7,1,Furniture,Table,2023-04-07,671.63,1253.9,Medium,20.038,3,WH_001,1,1,1,0,,,,,,,,0.0
SKU_110,2024-01-01,27,98874.39,3711.335714285714,14.29857142857143,7,1,Storage,Drawer,2023-05-02,2150.96,4330.54,Slow,2.862,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_111,2024-01-01,208,323967.8,1579.8600000000001,15.607142857142858,7,1,Kitchen,Appliance,2023-12-26,1344.39,1872.06,Fast,25.14,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_112,2024-01-01,478,731240.4400000001,1535.0857142857144,15.351428571428572,7,1,Furniture,Sofa,2023-08-03,1120.5,1813.44,Fast,55.813,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_113,2024-01-01,46,62728.5,1382.5399999999997,15.268571428571429,7,1,Decor,Wall Art,2023-09-16,1026.61,1631.67,Slow,5.567,10,WH_001,1,1,1,0,,,,,,,,0.0
SKU_114,2024-01-01,107,148206.12,1386.2785714285715,16.591428571428573,7,1,Kitchen,Appliance,2023-02-26,861.75,1662.03,Medium,11.932,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_115,2024-01-01,146,125932.54,867.8100000000001,16.497142857142858,7,1,Furniture,Desk,2023-04-29,671.32,1039.26,Medium,14.735,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_116,2024-01-01,315,436775.27999999997,1383.4142857142856,16.245714285714286,7,1,Storage,Organizer,2023-01-29,748.85,1651.75,Fast,39.675,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_117,2024-01-01,152,167321.31,1097.6714285714286,11.217142857142857,7,1,Lighting,LED Light,2023-11-28,853.33,1236.34,Medium,14.935,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_118,2024-01-01,63,116583.70999999999,1820.922857142857,13.68142857142857,7,1,Lighting,Floor Lamp,2023-09-27,1062.93,2109.51,Slow,7.769,3,WH_001,1,1,1,0,,,,,,,,0.0
SKU_119,2024-01-01,172,122887.58,718.26,15.071428571428571,7,1,Kitchen,Storage,2023-02-15,467.13,845.72,Medium,20.469,5,WH_001,1,1,1,0,,,,,,,,0.0
SKU_120,2024-01-01,175,601872.24,3470.197142857143,12.435714285714285,7,1,Kitchen,Storage,2023-01-20,1895.31,3963.03,Medium,21.31,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_121,2024-01-01,509,576773.0,1135.6285714285714,19.24285714285714,7,1,Kitchen,Storage,2023-11-26,710.41,1406.23,Fast,52.933,5,WH_001,1,1,1,0,,,,,,,,0.0
SKU_122,2024-01-01,316,402594.29,1280.6299999999999,11.491428571428571,7,1,Kitchen,Storage,2023-03-14,997.85,1446.9,Fast,38.2,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_123,2024-01-01,142,249336.41999999998,1755.0842857142857,10.45857142857143,7,1,Furniture,Sofa,2023-06-03,1098.55,1960.06,Medium,18.349,2,WH_001,1,1,1,0,,,,,,,,0.0
SKU_124,2024-01-01,106,132543.82,1253.4885714285715,11.897142857142857,7,1,Decor,Cushion,2023-08-31,791.63,1422.76,Medium,11.345,5,WH_001,1,1,1,0,,,,,,,,0.0
SKU_125,2024-01-01,52,77465.73000000001,1516.7628571428572,16.498571428571427,7,1,Furniture,Chair,2023-08-31,1285.72,1816.44,Slow,6.107,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_126,2024-01-01,195,115411.96,593.3157142857143,15.828571428571431,7,1,Kitchen,Cookware,2023-08-29,355.66,704.89,Medium,22.978,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_127,2024-01-01,132,86045.06,650.9200000000001,13.475714285714286,7,1,Decor,Vase,2023-09-29,347.71,752.29,Medium,15.963,2,WH_001,1,1,1,0,,,,,,,,0.0
SKU_128,2024-01-01,138,350760.22,2528.5642857142857,12.27142857142857,7,1,Furniture,Table,2023-02-13,1493.46,2882.25,Medium,16.424,2,WH_001,1,1,1,0,,,,,,,,0.0
SKU_129,2024-01-01,219,287927.71,1302.76,16.445714285714285,7,1,Furniture,Desk,2023-02-06,1116.11,1559.18,Medium,22.904,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_130,2024-01-01,23,16971.08,738.0214285714285,12.171428571428569,7,1,Kitchen,Appliance,2023-01-23,503.58,840.3,Slow,2.827,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_131,2024-01-01,443,131915.15,297.1685714285714,16.065714285714286,7,1,Furniture,Table,2023-06-18,175.12,354.05,Fast,46.586,2,WH_001,1,1,1,0,,,,,,,,0.0
SKU_132,2024-01-01,406,513966.37,1265.4457142857143,13.905714285714286,7,1,Storage,Cabinet,2023-06-24,778.91,1469.84,Fast,45.448,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_133,2024-01-01,170,99762.62,588.4057142857143,11.304285714285713,7,1,Kitchen,Cookware,2023-03-26,335.57,663.4,Medium,20.92,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_134,2024-01-01,219,1288137.9,5906.411428571429,14.008571428571429,7,1,Decor,Decor Piece,2023-08-14,4660.78,6868.74,Fast,28.514,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_135,2024-01-01,141,127348.79000000001,912.36,17.37857142857143,7,1,Kitchen,Cookware,2023-10-04,708.66,1104.23,Medium,15.648,3,WH_001,1,1,1,0,,,,,,,,0.0
