sku_id,category,demand_class,forecast_6_week_units,on_hand_units,on_order_units,lead_time_days,reorder_point,safety_stock_units,stockout_risk,overstock_risk,recommended_action,estimated_rupee_impact
SKU_200,Decor,Fast,2152.0,206,0,8,440,72,HIGH,LOW,REORDER,288417.04
SKU_017,Kitchen,Slow,394.0,31,0,9,87,19,HIGH,LOW,REORDER,282769.11
SKU_180,Lighting,Fast,2668.0,77,0,3,209,42,HIGH,LOW,REORDER,280272.82
SKU_172,Kitchen,Fast,1446.0,34,0,9,320,49,HIGH,LOW,REORDER,276498.91
SKU_116,Storage,Fast,1830.0,146,0,6,288,49,HIGH,LOW,REORDER,271594.89
SKU_104,Storage,Medium,861.0,145,0,9,200,37,HIGH,LOW,REORDER,264069.58
SKU_129,Furniture,Medium,1009.0,42,0,7,198,37,HIGH,LOW,REORDER,254406.2
SKU_038,Kitchen,Fast,1279.0,168,0,10,339,51,HIGH,LOW,REORDER,248399.66
SKU_184,Decor,Medium,614.0,19,0,7,118,24,HIGH,LOW,REORDER,245123.57
SKU_179,Storage,Fast,1396.0,258,0,10,344,45,HIGH,LOW,REORDER,242195.3
SKU_047,Decor,Fast,1953.0,307,0,9,433,63,HIGH,LOW,REORDER,221998.9
SKU_076,Decor,Medium,666.0,26,0,3,57,15,HIGH,LOW,REORDER,215056.09
SKU_136,Furniture,Medium,559.0,23,0,4,65,16,HIGH,LOW,REORDER,211703.43
SKU_059,Furniture,Slow,243.0,0,0,6,46,12,HIGH,LOW,REORDER,204046.13
SKU_004,Lighting,Medium,748.0,0,0,7,140,25,HIGH,LOW,REORDER,196662.0
SKU_011,Decor,Slow,259.0,20,0,4,34,11,HIGH,LOW,REORDER,186347.95
SKU_147,Decor,Medium,860.0,103,0,6,140,30,HIGH,LOW,REORDER,184009.75
SKU_159,Lighting,Medium,754.0,0,0,9,174,27,HIGH,LOW,REORDER,182480.57
SKU_085,Furniture,Medium,1042.0,165,0,8,210,36,HIGH,LOW,REORDER,175862.3
SKU_107,Kitchen,Medium,1012.0,0,0,6,158,28,HIGH,LOW,REORDER,170723.19
SKU_079,Kitchen,Slow,193.0,5,0,10,57,14,HIGH,LOW,REORDER,162415.06
SKU_049,Lighting,Fast,1293.0,263,0,10,364,62,HIGH,LOW,REORDER,155060.4
SKU_181,Storage,Medium,957.0,32,0,5,129,26,HIGH,LOW,REORDER,153413.99
SKU_081,Lighting,Slow,267.0,10,0,10,75,17,HIGH,LOW,REORDER,148633.31
SKU_158,Lighting,Medium,674.0,110,0,10,187,31,HIGH,LOW,REORDER,146524.34
SKU_069,Furniture,Medium,1072.0,173,0,9,238,35,HIGH,LOW,REORDER,135214.37
SKU_125,Furniture,Slow,299.0,7,0,8,65,16,HIGH,LOW,REORDER,119798.54
SKU_020,Kitchen,Medium,449.0,24,0,6,79,16,HIGH,LOW,REORDER,113342.88
SKU_057,Kitchen,Fast,1293.0,182,0,6,200,38,HIGH,LOW,REORDER,112955.68
SKU_132,Storage,Fast,2000.0,384,0,8,442,78,HIGH,LOW,REORDER,110168.01
SKU_140,Furniture,Slow,336.0,11,0,4,43,12,HIGH,LOW,REORDER,109451.43
SKU_051,Furniture,Medium,677.0,142,0,10,180,29,HIGH,LOW,REORDER,107710.05
SKU_110,Storage,Slow,116.0,8,0,8,33,10,HIGH,LOW,REORDER,104345.39
SKU_061,Lighting,Medium,363.0,0,0,6,65,15,HIGH,LOW,REORDER,99194.61
SKU_095,Decor,Medium,394.0,7,0,4,48,13,HIGH,LOW,REORDER,96086.21
SKU_122,Kitchen,Fast,1837.0,346,0,8,367,61,HIGH,LOW,REORDER,93910.7
SKU_189,Lighting,Medium,444.0,50,0,10,114,24,HIGH,LOW,REORDER,92573.0
SKU_138,Kitchen,Medium,470.0,7,0,3,43,12,HIGH,LOW,REORDER,90855.0
SKU_190,Decor,Fast,2581.0,95,0,2,153,37,HIGH,LOW,REORDER,85013.56
SKU_185,Lighting,Slow,131.0,8,0,9,40,10,HIGH,LOW,REORDER,81672.8
SKU_058,Kitchen,Medium,356.0,71,0,9,94,19,HIGH,LOW,REORDER,80300.96
SKU_078,Lighting,Slow,228.0,0,0,9,63,15,HIGH,LOW,REORDER,78967.66
SKU_070,Kitchen,Medium,1154.0,151,0,7,202,36,HIGH,LOW,REORDER,78115.95
SKU_166,Decor,Slow,119.0,19,0,9,36,10,HIGH,LOW,REORDER,75496.9
SKU_080,Lighting,Medium,1036.0,133,0,8,222,40,HIGH,LOW,REORDER,74436.62
SKU_197,Kitchen,Medium,870.0,17,0,5,111,22,HIGH,LOW,REORDER,70923.2
SKU_019,Storage,Medium,834.0,169,0,9,183,32,HIGH,LOW,REORDER,70200.97
SKU_005,Furniture,Fast,1282.0,279,0,9,279,46,HIGH,LOW,REORDER,67911.27
SKU_195,Furniture,Slow,342.0,57,0,8,75,17,HIGH,LOW,REORDER,67639.06
SKU_007,Lighting,Medium,957.0,68,0,4,108,22,HIGH,LOW,REORDER,67411.83
SKU_093,Kitchen,Fast,2285.0,240,0,4,241,46,HIGH,LOW,REORDER,63825.04
SKU_067,Kitchen,Medium,395.0,66,0,9,103,22,HIGH,LOW,REORDER,62048.23
SKU_082,Decor,Slow,207.0,13,0,10,60,15,HIGH,LOW,REORDER,61708.0
SKU_090,Kitchen,Medium,1174.0,99,0,6,176,35,HIGH,LOW,REORDER,61605.25
SKU_016,Decor,Slow,194.0,13,0,6,37,11,HIGH,LOW,REORDER,59479.71
SKU_002,Kitchen,Medium,462.0,52,0,6,78,17,HIGH,LOW,REORDER,59184.27
SKU_103,Decor,Slow,148.0,11,0,8,36,10,HIGH,LOW,REORDER,58641.7
SKU_056,Lighting,Medium,986.0,116,0,6,163,29,HIGH,LOW,REORDER,58408.07
SKU_157,Decor,Fast,1822.0,289,0,6,279,45,HIGH,LOW,REORDER,57839.37
SKU_003,Storage,Slow,280.0,9,0,9,79,17,HIGH,LOW,REORDER,55426.8
SKU_036,Furniture,Fast,1650.0,272,0,6,262,49,HIGH,LOW,REORDER,53609.15
SKU_025,Lighting,Medium,431.0,52,0,6,75,17,HIGH,LOW,REORDER,50068.01
SKU_124,Decor,Medium,556.0,51,0,5,74,17,HIGH,LOW,REORDER,45799.32
SKU_156,Lighting,Fast,2201.0,158,0,4,230,44,HIGH,LOW,REORDER,43727.55
SKU_024,Storage,Medium,529.0,85,0,8,114,22,HIGH,LOW,REORDER,43196.6
SKU_133,Kitchen,Medium,930.0,119,0,7,176,29,HIGH,LOW,REORDER,43121.0
SKU_091,Furniture,Medium,589.0,41,0,3,53,13,HIGH,LOW,REORDER,42185.72
SKU_143,Storage,Medium,1044.0,174,0,7,188,37,HIGH,LOW,REORDER,41923.22
SKU_169,Decor,Slow,299.0,29,0,4,37,11,HIGH,LOW,REORDER,41845.36
SKU_167,Storage,Medium,456.0,23,0,3,42,12,HIGH,LOW,REORDER,41717.2
SKU_008,Lighting,Slow,230.0,17,0,7,50,13,HIGH,LOW,REORDER,40395.23
SKU_065,Kitchen,Slow,187.0,30,0,8,42,11,HIGH,LOW,REORDER,40139.15
SKU_142,Kitchen,Medium,508.0,15,0,10,129,23,HIGH,LOW,REORDER,38685.71
SKU_163,Decor,Fast,1412.0,221,0,6,232,46,HIGH,LOW,REORDER,35740.24
SKU_027,Kitchen,Fast,1602.0,243,0,6,249,45,HIGH,LOW,REORDER,35263.54
SKU_073,Storage,Medium,770.0,88,0,6,124,27,HIGH,LOW,REORDER,34259.82
SKU_032,Storage,Slow,116.0,18,0,10,40,11,HIGH,LOW,REORDER,33720.6
SKU_164,Furniture,Slow,333.0,27,0,3,30,10,HIGH,LOW,REORDER,31247.47
SKU_101,Storage,Medium,598.0,63,0,6,95,23,HIGH,LOW,REORDER,30910.96
SKU_088,Kitchen,Slow,240.0,41,0,7,46,12,HIGH,LOW,REORDER,29003.04
SKU_043,Lighting,Slow,157.0,26,0,6,30,10,HIGH,LOW,REORDER,27427.18
SKU_072,Decor,Slow,166.0,5,0,8,41,11,HIGH,LOW,REORDER,26417.22
SKU_108,Decor,Slow,109.0,14,0,5,21,10,HIGH,LOW,REORDER,26137.5
SKU_075,Furniture,Medium,824.0,51,0,3,81,23,HIGH,LOW,REORDER,25851.19
SKU_114,Kitchen,Medium,537.0,126,0,9,134,26,HIGH,LOW,REORDER,25049.17
SKU_063,Kitchen,Slow,240.0,60,0,9,57,14,HIGH,LOW,REORDER,23282.98
SKU_145,Kitchen,Medium,436.0,37,0,5,61,15,HIGH,LOW,REORDER,22169.6
SKU_052,Furniture,Slow,217.0,19,0,6,40,12,HIGH,LOW,REORDER,20895.6
SKU_040,Lighting,Slow,351.0,64,0,7,68,15,HIGH,LOW,REORDER,19433.2
SKU_178,Storage,Slow,144.0,14,0,3,20,10,HIGH,LOW,REORDER,17718.93
SKU_176,Furniture,Medium,638.0,136,0,8,125,25,HIGH,LOW,REORDER,17017.11
SKU_099,Furniture,Slow,226.0,21,0,5,37,11,HIGH,LOW,REORDER,15527.02
SKU_029,Furniture,Medium,733.0,180,0,9,179,31,HIGH,LOW,REORDER,15224.97
SKU_033,Decor,Medium,789.0,150,0,7,149,27,HIGH,LOW,REORDER,14105.92
SKU_096,Kitchen,Slow,216.0,8,0,6,39,10,HIGH,LOW,REORDER,13088.31
SKU_119,Kitchen,Medium,976.0,127,0,5,129,26,HIGH,LOW,REORDER,12846.89
SKU_071,Furniture,Slow,104.0,19,0,5,21,10,HIGH,LOW,REORDER,10925.11
SKU_165,Kitchen,Slow,152.0,27,0,9,37,10,HIGH,LOW,REORDER,9953.41
SKU_148,Kitchen,Medium,1127.0,68,0,2,64,19,HIGH,LOW,REORDER,9751.23
SKU_010,Kitchen,Slow,155.0,27,0,8,39,11,HIGH,LOW,REORDER,9380.79
SKU_039,Decor,Slow,343.0,60,0,6,60,15,HIGH,LOW,REORDER,7876.92
SKU_030,Lighting,Slow,261.0,33,0,5,41,11,HIGH,LOW,REORDER,5840.91
SKU_053,Lighting,Medium,976.0,192,0,7,174,34,HIGH,LOW,REORDER,4494.56
SKU_015,Kitchen,Slow,160.0,34,0,7,32,10,HIGH,LOW,REORDER,3002.99
SKU_013,Kitchen,Slow,103.0,21,0,5,22,10,HIGH,LOW,REORDER,929.34
SKU_100,Storage,Fast,1643.0,498,0,4,173,36,LOW,LOW,HEALTHY,0.0
SKU_066,Kitchen,Slow,341.0,89,0,7,68,18,MEDIUM,LOW,WATCH,0.0
SKU_087,Lighting,Fast,2061.0,306,0,2,118,33,LOW,LOW,HEALTHY,0.0
SKU_089,Furniture,Fast,2364.0,721,0,5,311,54,LOW,LOW,HEALTHY,0.0
SKU_086,Furniture,Medium,1142.0,337,0,8,238,38,LOW,LOW,HEALTHY,0.0
SKU_084,Furniture,Medium,1031.0,100,0,3,94,24,MEDIUM,LOW,WATCH,0.0
SKU_014,Storage,Medium,610.0,191,0,6,104,23,LOW,LOW,HEALTHY,0.0
SKU_012,Storage,Fast,1421.0,208,0,4,156,32,LOW,LOW,HEALTHY,0.0
SKU_021,Lighting,Medium,619.0,160,0,3,61,18,LOW,LOW,HEALTHY,0.0
SKU_018,Furniture,Fast,2481.0,714,0,7,435,69,LOW,LOW,HEALTHY,0.0
SKU_077,Decor,Medium,1178.0,285,0,4,125,25,LOW,LOW,HEALTHY,0.0
SKU_050,Furniture,Slow,168.0,48,0,4,25,10,LOW,LOW,HEALTHY,0.0
SKU_062,Kitchen,Fast,2792.0,603,0,7,510,92,MEDIUM,LOW,WATCH,0.0
SKU_064,Lighting,Medium,461.0,57,0,3,44,12,LOW,LOW,HEALTHY,0.0
SKU_055,Lighting,Medium,1044.0,249,0,8,224,39,MEDIUM,LOW,WATCH,0.0
SKU_054,Lighting,Medium,761.0,193,0,7,134,26,LOW,LOW,HEALTHY,0.0
SKU_094,Decor,Medium,444.0,142,0,7,86,17,LOW,LOW,HEALTHY,0.0
SKU_074,Decor,Medium,1107.0,186,0,3,91,22,LOW,LOW,HEALTHY,0.0
SKU_194,Storage,Medium,856.0,160,0,3,73,19,LOW,LOW,HEALTHY,0.0
SKU_152,Storage,Medium,451.0,132,0,2,31,10,LOW,LOW,HEALTHY,0.0
SKU_173,Decor,Medium,460.0,56,0,2,29,10,LOW,LOW,HEALTHY,0.0
SKU_175,Furniture,Fast,2539.0,370,0,2,156,48,LOW,LOW,HEALTHY,0.0
SKU_041,Kitchen,Slow,270.0,75,0,4,34,11,LOW,LOW,HEALTHY,0.0
SKU_001,Lighting,Fast,2041.0,319,0,3,164,36,LOW,LOW,HEALTHY,0.0
SKU_028,Furniture,Medium,824.0,145,0,6,133,26,MEDIUM,LOW,WATCH,0.0
SKU_031,Lighting,Medium,1100.0,285,0,9,252,42,MEDIUM,LOW,WATCH,0.0
SKU_097,Decor,Slow,198.0,56,0,6,37,11,LOW,LOW,HEALTHY,0.0
SKU_098,Furniture,Medium,708.0,122,0,2,46,15,LOW,LOW,HEALTHY,0.0
SKU_023,Storage,Fast,2100.0,468,0,8,449,66,MEDIUM,LOW,WATCH,0.0
SKU_045,Storage,Medium,1080.0,181,0,2,73,23,LOW,LOW,HEALTHY,0.0
SKU_153,Furniture,Medium,403.0,59,0,3,37,11,LOW,LOW,HEALTHY,0.0
SKU_151,Storage,Medium,1063.0,320,0,5,152,34,LOW,LOW,HEALTHY,0.0
SKU_161,Furniture,Medium,759.0,176,0,7,143,29,MEDIUM,LOW,WATCH,0.0
SKU_154,Kitchen,Slow,279.0,90,0,3,29,10,LOW,LOW,HEALTHY,0.0
SKU_162,Storage,Medium,816.0,219,0,5,113,23,LOW,LOW,HEALTHY,0.0
SKU_168,Lighting,Medium,973.0,250,0,7,170,32,LOW,LOW,HEALTHY,0.0
SKU_171,Decor,Fast,1793.0,459,0,8,384,67,MEDIUM,LOW,WATCH,0.0
SKU_170,Storage,Slow,287.0,85,0,5,44,13,LOW,LOW,HEALTHY,0.0
SKU_188,Furniture,Medium,528.0,118,0,3,50,17,LOW,LOW,HEALTHY,0.0
SKU_191,Storage,Medium,501.0,84,0,2,33,12,LOW,LOW,HEALTHY,0.0
SKU_193,Furniture,Medium,1008.0,221,0,4,111,24,LOW,LOW,HEALTHY,0.0
SKU_192,Decor,Fast,1165.0,293,0,5,163,30,LOW,LOW,HEALTHY,0.0
SKU_118,Lighting,Slow,375.0,109,0,3,35,11,LOW,LOW,HEALTHY,0.0
SKU_121,Kitchen,Fast,2508.0,512,0,5,319,54,LOW,LOW,HEALTHY,0.0
SKU_117,Lighting,Medium,622.0,161,0,7,131,26,LOW,LOW,HEALTHY,0.0
SKU_115,Furniture,Medium,706.0,184,0,8,146,28,MEDIUM,LOW,WATCH,0.0
SKU_183,Kitchen,Medium,925.0,249,0,3,85,22,LOW,LOW,HEALTHY,0.0
SKU_182,Storage,Slow,124.0,31,0,7,27,10,MEDIUM,LOW,WATCH,0.0
SKU_186,Lighting,Medium,697.0,214,0,10,196,35,MEDIUM,LOW,WATCH,0.0
SKU_187,Decor,Medium,503.0,148,0,10,139,25,MEDIUM,LOW,WATCH,0.0
SKU_177,Kitchen,Medium,661.0,134,0,7,123,23,MEDIUM,LOW,WATCH,0.0
SKU_174,Storage,Slow,278.0,79,0,9,70,16,MEDIUM,LOW,WATCH,0.0
SKU_198,Storage,Medium,712.0,188,0,2,43,14,LOW,LOW,HEALTHY,0.0
SKU_149,Kitchen,Medium,1167.0,205,0,3,100,25,LOW,LOW,HEALTHY,0.0
SKU_109,Furniture,Medium,918.0,281,0,3,84,23,LOW,LOW,HEALTHY,0.0
SKU_113,Decor,Slow,253.0,79,0,10,70,14,MEDIUM,LOW,WATCH,0.0
SKU_141,Kitchen,Medium,788.0,132,0,3,70,18,LOW,LOW,HEALTHY,0.0
SKU_123,Furniture,Medium,815.0,83,0,2,55,18,LOW,LOW,HEALTHY,0.0
SKU_105,Lighting,Medium,557.0,103,0,4,59,15,LOW,LOW,HEALTHY,0.0
SKU_146,Decor,Medium,1144.0,268,0,4,126,31,LOW,LOW,HEALTHY,0.0
SKU_102,Lighting,Medium,485.0,81,0,2,32,10,LOW,LOW,HEALTHY,0.0
SKU_137,Storage,Fast,2481.0,469,0,6,364,50,LOW,LOW,HEALTHY,0.0
SKU_135,Kitchen,Medium,728.0,212,0,3,62,15,LOW,LOW,HEALTHY,0.0
SKU_134,Decor,Fast,1321.0,355,0,4,141,26,LOW,LOW,HEALTHY,0.0
SKU_139,Lighting,Fast,1456.0,245,0,3,119,26,LOW,LOW,HEALTHY,0.0
SKU_131,Furniture,Fast,2093.0,590,0,2,125,31,LOW,LOW,HEALTHY,0.0
SKU_128,Furniture,Medium,826.0,209,0,2,49,16,LOW,LOW,HEALTHY,0.0
SKU_130,Kitchen,Slow,157.0,45,0,4,22,10,LOW,LOW,HEALTHY,0.0
SKU_126,Kitchen,Medium,1064.0,228,0,4,120,28,LOW,LOW,HEALTHY,0.0
SKU_127,Decor,Medium,829.0,202,0,2,48,16,LOW,LOW,HEALTHY,0.0
